ProgrammingLanguageNam	QueryID	PairID	QueryText	CommentText	SimilarityScor
PHP	1	1_buildQuery	upi	Prav upi od niz podatk.	3
PHP	1	1_classRequest	upi	Klas koj enkapsulir sve parametr http \n zahtev medj koj se nalaz i upi.	2
PHP	1	1_decodeUrl	upi	Vrc upi parametar iz url http zahtev.	3
PHP	1	1_laravelQuery	upi	Ispisuj na izlaz upi koj je prosledjen ka \n de URL-a.	2
PHP	1	1_parseFromString	upi	Parsiranj string da bi se dobi upi.	2
PHP	1	1_parseQueryFromUrl	upi	Parsir url i pronalaz upi.	2
PHP	1	1_requestFactory	upi	"Svrh ov klas je da enkapsulir sve parametr jedn \n http zahtev medj koj su fajlov, tel zahtev, \n upi itd"	2
PHP	1	1_viewQuery	upi	Vrc pogled koj sadrz u seb upi.	2
PHP	2	2_convertIntToString	konvertuj decimaln vrednost u string	Funkcij koj se korist da bi \n decimaln vrednost broj konvertova u string.	2
PHP	2	2_convertIntToString1	konvertuj decimaln vrednost u string	Funkcij koj se korist da bi se \n dve decimaln vrednost konvertova \n u string i zat nadoveza jedn na drug.	2
PHP	2	2_convertIntToString2	konvertuj decimaln vrednost u string	Funkcij koj se korist da bi se \n tr decimaln vrednost konvertova \n u string i zat nadoveza.	2
PHP	2	2_convertIntToString3	konvertuj decimaln vrednost u string	Funkcij koj se korist da bi se \n decimaln vrednost konvertova u string.	2
PHP	2	2_convertIntToString4	konvertuj decimaln vrednost u string	Funkcij koj od dve decimaln vrednost \n prav string i zat ih nadovezuj i ispisuj na izlaz.	1
PHP	2	2_convertIntToString5	konvertuj decimaln vrednost u string	Urad obrad konverzij decimaln broj u string.	2
PHP	2	2_convertIntToString6	konvertuj decimaln vrednost u string	Pretvaranj cel brojev.	0
PHP	2	2_convertIntToString7	konvertuj decimaln vrednost u string	Pretvaranj brojev u string.	1
PHP	2	2_convertIntToString8	konvertuj decimaln vrednost u string	Prebac ce br u string.	0
PHP	2	2_convertIntToString9	konvertuj decimaln vrednost u string	Konvertovanj u string.	1
